lat,lon,amenaza,probabilidad
-34.154002,-70.731932,Robo,0.0
-36.610168,-72.096377,Robo,0.2
-33.444878,-70.663111,Robo,0.0
-53.602435,-70.94925,Robo,0.0
-41.867248,-73.829099,Robo,0.0
-37.023793,-73.178024,Robo,0.0
-35.946927,-71.622874,Robo,0.0
-36.605648,-72.107264,Robo,0.3
-40.798027,-72.404204,Robo,0.0
-27.066538,-70.823078,Robo,0.0
-40.334686,-72.954948,Robo,0.0
-33.724857,-70.673337,Robo,0.0
-53.294846,-70.368165,Robo,0.0
-33.02885,-71.550221,Robo,0.0
-33.45388,-70.66769,Robo,0.0
-33.946932,-71.797673,Robo,0.0
-29.903339,-71.246866,Robo,0.0
-46.843147,-72.706022,Robo,0.0
-28.573655,-70.763947,Robo,0.0
-52.918902,-70.575626,Robo,0.0
-33.446084,-70.681402,Robo,0.0
-37.593221,-73.639652,Robo,0.0
-33.464909,-70.595665,Robo,0.0
-36.649644,-72.034882,Robo,0.0
-32.920752,-71.515397,Robo,0.0
-45.573585,-72.026323,Robo,0.0
-36.396548,-72.429246,Robo,0.0
-52.39463,-68.431006,Robo,0.0
-33.622225,-71.600464,Robo,0.0
-33.439546,-70.647898,Robo,1.0
-36.289381,-71.415977,Robo,0.0
-33.461859,-70.640938,Robo,0.0
-33.443448,-70.647825,Robo,1.0
-33.192601,-71.702633,Robo,0.0
-43.414288,-72.366455,Robo,0.0
-51.728211,-72.508804,Robo,0.0
-33.554613,-71.599606,Robo,0.0
-33.034602,-71.596842,Robo,0.0
-38.716667,-72.566667,Robo,0.0
-33.433018,-70.622132,Robo,0.0
-33.41397,-70.599054,Robo,0.0
-18.48266,-70.319826,Robo,0.0
-27.486313,-70.264158,Robo,0.0
-33.448942,-70.682766,Robo,0.0
-32.834138,-70.595289,Robo,0.0
-18.480143,-70.321237,Robo,0.0
-29.908564,-71.246891,Robo,0.0
-42.143081,-73.471679,Robo,0.0
-33.510071,-70.674075,Robo,0.0
-33.444268,-70.65089,Robo,1.0
-20.220831,-70.151971,Robo,0.0
-39.806686,-73.251711,Robo,0.0
-33.396931,-70.592184,Robo,0.0
-33.046144,-71.627436,Robo,0.0
-39.81639,-73.24667,Robo,0.0
-45.37324,-71.995754,Robo,0.0
-32.696193,-70.733005,Robo,0.0
-33.413828,-70.653481,Robo,0.0
-33.020692,-71.547056,Robo,0.0
-32.901807,-71.253265,Robo,0.0
-38.862235,-73.326858,Robo,0.0
-53.885925,-70.140974,Robo,0.0
-34.209491,-70.813746,Robo,0.0
-33.501719,-70.6619,Robo,0.0
-29.880923,-71.235811,Robo,0.0
-33.508273,-70.747656,Robo,0.0
-41.327129,-73.092849,Robo,0.0
-32.629442,-70.715963,Robo,0.0
-34.412927,-70.863665,Robo,0.0
-37.805817,-73.391975,Robo,0.0
-30.093757,-70.494236,Robo,0.0
-47.127429,-72.704301,Robo,0.0
-33.437206,-70.650653,Robo,0.0
-23.680624,-70.408733,Robo,0.4
-34.398349,-70.858744,Robo,0.0
-20.336502,-69.656311,Robo,0.0
-33.028956,-71.542329,Robo,0.0
-33.439025,-70.639781,Robo,1.0
-33.463211,-70.615831,Robo,0.0
-53.165424,-70.907491,Robo,1.0
-33.75455,-70.90038,Robo,0.0
-34.884371,-71.992099,Robo,0.0
-37.476428,-73.347917,Robo,0.0
-33.804114,-70.70804,Robo,0.0
-33.443201,-70.685112,Robo,0.0
-33.437386,-70.619105,Robo,1.0
-34.206573,-70.52559,Robo,0.0
-20.209303,-70.151566,Robo,0.0
-33.441954,-70.62604,Robo,1.0
-45.714135,-72.081582,Robo,0.0
-29.906152,-71.249985,Robo,0.0
-22.909722,-68.199636,Robo,0.0
-32.779028,-71.533118,Robo,0.0
