nodo_id,lat,lon,probabilidad_fallo
Museo Masónico,-33.4437699991318,-70.64535499999994,0.3709126506024097
Museo de Pirque,-33.63878799912933,-70.56712099999993,0.3709126506024097
Museo Escolar Laguna Taguatagua - MELT,-34.46858119911915,-71.16441859999992,0.3709126506024097
Museo de Bomberos de Talca,-35.42892634210836,-71.66041635599993,0.3709126506024097
Museo Municipal Histórico y Natural de Navidad,-33.9540099991254,-71.82990999999993,0.3709126506024097
Museo de Arte Escultorico Itinerante Impreso en 3D,-30.586904561172897,-71.18051625399994,0.3709126506024097
Museo Geológico Profesor Lajos Biró Bagoczky,-36.82919979909436,-73.03455839999992,0.3709126506024097
Planetario Chile,-33.449990999131785,-70.6813939999999,0.3709126506024097
Casa Museo Francisco Coloane,-42.14379534306124,-73.47131485099993,0.3709126506024097
Museo Regional de Atacama,-27.363197986229103,-70.34017303699994,0.3709126506024097
Museo del Automóvil,-34.70415839911644,-71.56923649999993,0.3709126506024097
Museo de Cerro Sombrero,-52.77626199909162,-69.28983899999992,0.3709126506024097
Museo de Sitio El Trapiche Viejo,-32.636243799142584,-70.7266340999999,0.3709126506024097
Museo Restaurante Bajo Marquesina de Coyhaique,-45.56857027905689,-72.06754138399992,0.3709126506024097
Museo Lircunlauta,-34.573400999117965,-70.99189299999995,0.3709126506024097
Ecomuseo de Cobquecura,-36.13056999910108,-72.7899809999999,0.3709126506024097
Museo de Antofagasta,-23.64428506830606,-70.39779996499993,0.3709126506024097
Museo Educativo de Autos Antiguos,-33.44173319913186,-70.75033539999993,0.3709126506024097
Museo del Sonido. Historia del registro y reproducción musical,-33.44195699913186,-70.6756749999999,0.3709126506024097
Auto Museum Moncopulli,-40.60935099906753,-72.8200369999999,0.3709126506024097
Museo Universidad de Tarapacá San Miguel de Azapa,-18.516508999431082,-70.18082099999992,0.3709126506024097
Museo Geoglifos de Pintados,-20.433599999382007,-69.57869999999991,0.3709126506024097
Museo Moñuga,-36.58010699909672,-72.76511099999993,0.3709126506024097
Museo Pedro del Río Zañartu,-36.79710399909468,-73.15263299999992,0.3709126506024097
Molino Los Chilcos,-40.244701999069385,-72.69097399999993,0.3709126506024097
Museo de Artes Visuales,-33.43744454013191,-70.64090125399991,0.3709126506024097
Museo del Pleistoceno de Osorno,-40.574651199067716,-73.1047506999999,0.3709126506024097
Museo Indígena Atacameño de Arqueología y Etnografía - Alto Loa - Valle de Lasan,-22.269969999337572,-68.63109899999995,0.3709126506024097
Museo y Centro Cultural Presidente Pedro Aguirre Cerda,-32.86914199913943,-70.61588909999995,0.3709126506024097
Museo de Historia Natural de Concepción,-36.815448481094485,-73.03038958099995,0.3709126506024097
Museo Del Recuerdo Punta Arenas,-53.13322279909489,-70.88188649999995,0.3709126506024097
Museo Identidad Puma,-23.670138899305496,-70.4045832999999,0.3709126506024097
Museo Histórico y Arqueológico Municipal de Villarrica,-39.28498276707507,-72.22457065099991,0.3709126506024097
Centro Cultural Comunitario Monumento Histórico Pabellón 83,-37.09225652509197,-73.16217563599992,0.3709126506024097
Museo y Archivo Histórico Municipal de Osorno,-40.5760057780677,-73.13488438199994,0.3709126506024097
Museo Municipal de Ciencias Naturales y Arqueológico Profesor Pedro Ramírez Fuen,-36.61179789109639,-72.10456430499994,0.3709126506024097
Casa Museo Padre Pancho,-39.27381399907514,-71.97906499999993,0.3709126506024097
Museo Histórico Gabriel González Videla,-29.902933999183947,-71.25279899999992,0.3709126506024097
Museo-Acuario y Sala de Colecciones FCM,-29.964369999182956,-71.35088499999995,0.3709126506024097
Museo Universitario del Grabado de Valparaíso,-33.0428499991371,-71.62910799999992,0.3709126506024097
Museo de La Ligua,-32.44410128414524,-71.23099261199991,0.3709126506024097
Museo Arellano,-35.58950099910665,-72.27627999999993,0.3709126506024097
Sala Tránsito,-20.21676281238742,-70.15225648699993,0.3709126506024097
Museo Municipal de Pica,-20.490879999380578,-69.32837489999991,0.3709126506024097
Museo Judío Alemán de Santiago,-33.38278879913263,-70.5524031999999,0.3709126506024097
EcoMuseo OvejaVerde,-38.233082999082505,-72.32822299999992,0.3709126506024097
