Lat,Lon,Robos
-41.470854,-72.94334,0
-33.407263,-70.657377,0
-37.24909,-73.327293,0
-38.877751,-72.668746,0
-33.037052,-71.600563,0
-37.088973,-73.170556,0
-33.463619,-70.619979,0
-23.3346,-69.838378,0
-33.458605,-70.67005,0
-33.456782,-70.581786,0
-20.21485,-70.152481,0
-33.441131,-70.647505,"""69"""
-33.452667,-70.610734,0
-37.086852,-73.162162,0
-34.575751,-70.991924,0
-23.643086,-70.398332,0
-34.173523,-70.74123,"""6"""
-33.430211,-70.647867,0
-32.552912,-71.461092,0
-33.01928,-71.564861,0
-33.046568,-71.621268,0
-21.95598,-68.728542,0
-18.480484,-70.332155,0
-33.438134,-70.653272,0
-33.434236,-70.64534,"""25"""
-34.413741,-71.228662,0
-23.147547,-69.616589,0
-26.343256,-70.619757,0
-33.040792,-71.625033,0
-33.438913,-70.641309,0
-29.03675,-70.898361,0
-34.206564,-70.528737,0
-33.455431,-70.652767,"""18"""
-35.573938,-71.040851,0
-34.353659,-71.016197,0
-39.276839,-72.229883,0
-23.646379,-70.397973,0
-33.439011,-70.633833,0
-33.406489,-70.561984,0
-18.54345,-69.51311,0
-33.459902,-70.622427,0
-36.611491,-72.096556,"""2"""
-33.42412,-70.654874,0
-26.472205,-105.362029,0
-33.040402,-71.632315,0
-33.440116,-70.654289,"""16"""
-34.289496,-70.819955,0
-33.584065,-70.720897,0
-34.549156,-71.402288,0
-33.441845,-70.676982,0
-34.17062,-70.740128,0
-32.99073,-71.008349,0
-33.436721,-70.64954,0
-34.414725,-71.226511,0
-37.09521,-73.167167,0
-33.465469,-70.655587,0
-33.046457,-71.627196,"""25"""
-22.300682,-68.916463,0
-33.431237,-70.653478,0
-34.712791,-71.041612,"""3"""
-33.431594,-70.629295,0
-37.095095,-73.156046,0
-35.590448,-72.278415,0
-22.596505,-69.669236,0
-33.444952,-70.648567,"""22"""
-33.438654,-70.641219,0
-33.424621,-70.644741,0
-33.432755,-70.617025,0
-51.566118,-72.618324,0
-34.414147,-71.189141,0
-33.743833,-70.282133,0
-52.479784,-71.123937,0
-36.737159,-71.497694,0
-30.231449,-71.084784,0
-19.924094,-69.51087,0
-29.902163,-71.240885,0
-63.321054,-57.898458,0
-33.393882,-70.623928,0
-33.444376,-70.648062,"""22"""
-23.643486,-70.396579,0
-33.414537,-70.653492,0
-35.849884,-71.596375,0
-33.019535,-71.538735,0
-33.044442,-71.602935,0
-33.425163,-70.612474,0
-33.411474,-70.662649,0
-53.612654,-70.929958,0
-36.061289,-72.078094,0
-32.749462,-70.692759,0
-33.639879,-70.352383,0
-32.880175,-70.590444,0
-18.26759,-69.614896,0
-37.092433,-73.168604,0
-45.569749,-72.031912,0
-33.440238,-70.658171,"""16"""
-42.331521,-73.375184,0
-33.446252,-70.665156,0
-22.942902,-68.298718,0
-39.849278,-71.945902,0
-33.440076,-70.647309,"""42"""
-53.319852,-68.667024,0
-33.02092,-71.537321,0
-33.044346,-71.622999,0
-33.474326,-70.651439,0
-39.887327,-73.393431,0
-36.149671,-71.260938,0
-23.68082,-68.062171,0
-35.426221,-71.664912,0
-33.039727,-71.600586,0
-34.771873,-72.03927,0
-42.471588,-73.488143,0
-33.449325,-70.669122,0
-34.413384,-71.219997,0
-33.432225,-70.654507,"""16"""
-33.427564,-70.616556,0
-30.396637,-70.881711,0
-33.482987,-70.5876,0
-33.451433,-70.649204,"""58"""
-52.77702,-69.290971,0
-28.72925,-71.238239,0
-35.464351,-71.656561,0
-33.019748,-71.537968,0
-23.64942,-70.39768,0
-45.569651,-72.021975,0
-33.442748,-70.651575,"""33"""
-20.218148,-70.151907,"""3"""
-34.173497,-70.741588,"""15"""
-33.444465,-70.67895,0
-33.606301,-70.693408,0
-35.338331,-72.401875,0
-27.979142,-70.001837,0
-33.426236,-70.659943,0
-36.23587,-71.871415,0
-29.966375,-71.346659,0
-34.99986,-70.811185,0
-34.200707,-71.062976,0
-33.439188,-70.647952,"""42"""
-33.436472,-70.63002,0
-33.419248,-70.646336,0
-34.41243,-71.231235,0
-32.832907,-70.598365,0
-35.425589,-71.66407,0
-34.985395,-71.239526,"""4"""
-33.203533,-70.679719,0
-25.403786,-70.481937,0
-33.440308,-70.659029,"""16"""
-33.607189,-70.693696,0
-32.784113,-70.689295,0
-28.730632,-71.237805,0
-33.019824,-71.538138,0
-22.597336,-69.667984,0
-27.366731,-70.333196,0
-23.645868,-70.398717,0
-27.539746,-70.270434,0
-52.566804,-70.069176,0
-27.784357,-70.150859,0
-33.428022,-70.634639,0
-35.320715,-71.956728,0
-37.0869,-73.162985,0
